id,parent_id/id,code,type,name,reconcile,user_type/id
md_acc_41260,md_acc_41200,41260,Regular,Alte împrumuturi pe termen lung,TRUE,account.data_account_type_liability
md_acc_41300,md_acc_41000,41300,Regular,Datorii pe termen lung privind leasingul financiar,TRUE,account.data_account_type_liability
md_acc_42000,md_acc_40000,42000,View,ALTE DATORII PE TERMEN LUNG,TRUE,account.data_account_type_view
md_acc_42100,md_acc_42000,42100,View,Datorii comerciale pe termen lung,TRUE,account.data_account_type_view
md_acc_42110,md_acc_42100,42110,Regular,Datorii comerciale în ţară,TRUE,account.data_account_type_liability
md_acc_42120,md_acc_42100,42120,Regular,Datorii comerciale în străinătate,TRUE,account.data_account_type_liability
md_acc_42130,md_acc_42100,42130,Regular,Alte datorii comerciale ,TRUE,account.data_account_type_liability
md_acc_42200,md_acc_42000,42200,View,Datorii faţă de părţile afiliate pe termen lung,TRUE,account.data_account_type_view
md_acc_42210,md_acc_42200,42210,Regular,Datorii faţă de părţile afiliate din ţară,TRUE,account.data_account_type_liability
md_acc_42220,md_acc_42200,42220,Regular,Datorii faţă de părţile afiliate din străinătate,TRUE,account.data_account_type_liability
md_acc_42230,md_acc_42200,42230,Regular,Alte datorii faţă de părţile afiliate,TRUE,account.data_account_type_liability
md_acc_42300,md_acc_42000,42300,View,Avansuri primite pe termen lung,TRUE,account.data_account_type_view
md_acc_42310,md_acc_42300,42310,Regular,Avansuri primite din ţară,TRUE,account.data_account_type_liability
md_acc_42320,md_acc_42300,42320,Regular,Avansuri primite din străinătate,TRUE,account.data_account_type_liability
md_acc_42400,md_acc_42000,42400,View,Venituri anticipate pe termen lung,TRUE,account.data_account_type_view
md_acc_42410,md_acc_42400,42410,Regular,Subvenţii,TRUE,account.data_account_type_liability
md_acc_42420,md_acc_42400,42420,Regular,Alte venituri anticipate pe termen lung,TRUE,account.data_account_type_liability
md_acc_42500,md_acc_42000,42500,Regular,Finanţări şi încasări cu destinaţie specială pe termen lung,TRUE,account.data_account_type_liability
md_acc_42600,md_acc_42000,42600,Regular,Provizioane pe termen lung,TRUE,account.data_account_type_liability
md_acc_42700,md_acc_42000,42700,Regular,Datorii pe termen lung privind bunurile primite în gestiune economică ,TRUE,account.data_account_type_liability
md_acc_42800,md_acc_42000,42800,Regular,Alte datorii pe termen lung ,TRUE,account.data_account_type_liability
md_acc_50000,md_acc_0,50000,View,DATORII CURENTE,TRUE,account.data_account_type_view
md_acc_51000,md_acc_50000,51000,View,DATORII FINANCIARE CURENTE,TRUE,account.data_account_type_view
md_acc_51100,md_acc_51000,51100,View,Credite bancare pe termen scurt,TRUE,account.data_account_type_liability
md_acc_51110,md_acc_51100,51110,Regular,Credite bancare în monedă naţională,TRUE,account.data_account_type_liability
md_acc_51120,md_acc_51100,51120,Regular,Credite bancare în valută străină,TRUE,account.data_account_type_liability
